Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Georgia,GEO,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,,,,,,,,,,,22.86169098,22.47211437,22.44160869,22.82836369,23.08547045,22.51968489,22.38247765,21.90946054,20.99582742,19.82842205,18.85075933,17.99622596,17.95865483,18.10876077,17.78615299,17.77696306,17.7334934,17.26788592,34.93281834,34.97866935,34.45409264,33.91347205,35.67010065,41.84495659,36.71793271,39.72321494,41.75445156,36.52121013,35.02515394,34.5178365,33.28255871,32.65394859,33.55548928,33.78719394,34.64211302,36.12999574,36.9678994,37.89290498,39.18176865,,,,,,,,,,
Georgia,GEO,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE,,,,,,,,,,0,798.517715,814.710776,844.9063698,879.3440036,911.8830084,907.9981985,907.123769,887.2696144,845.1870327,796.0179516,750.8841814,712.5425706,698.9221123,697.3231053,698.8375156,701.5020723,706.0732264,698.1423545,1776.389705,1781.677,1734.842809,1645.020441,1727.035696,1940.580784,1463.819136,1635.106835,1821.621458,1490.262588,1430.893121,1396.743543,1377.035912,1366.851838,1412.719654,1442.686151,1499.968852,1594.456455,1673.784491,1763.285705,1844.763868,,,,,,,,,,
Georgia,GEO,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,,,,,,,,,,,60.86320011,61.7790282,61.98930321,62.01857545,62.16091387,62.79554787,62.8915974,63.38888973,64.11032168,64.92789609,65.78138006,66.23832037,65.87881568,65.36466498,65.60139342,65.32690188,65.19155647,65.62939877,51.27605766,51.09151075,51.31990021,51.3302114,49.65820856,43.22825949,46.38925898,44.27819363,43.22046571,47.81097968,49.50039506,50.16639677,51.85039402,52.96309999,52.34488801,52.40094075,51.85627056,50.77996371,50.33507939,49.76921873,50.00480969,,,,,,,,,,
Georgia,GEO,Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE,,,,,,,,,,0,2125.842026,2239.755422,2333.841475,2388.943123,2455.374746,2531.929049,2548.889527,2567.066206,2580.760999,2606.549867,2620.27629,2622.640057,2563.8981,2517.029837,2577.550909,2577.884473,2595.653974,2653.403155,2607.469574,2602.402301,2584.075011,2489.843766,2404.296518,2004.732148,1849.382032,1822.601145,1885.579257,1950.94615,2022.254489,2029.953145,2145.263387,2216.966513,2203.77213,2237.478249,2245.324659,2240.975656,2279.006289,2315.930963,2354.336451,,,,,,,,,,
Georgia,GEO,HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,2.5,,,,,11.8,,,16.7,,20,,,,,,,,
Georgia,GEO,Total greenhouse gas emissions (% change from 1990),EN.ATM.GHGT.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.78639726,-28.55261082,-39.78311728,-56.84792787,-64.37451425,-66.16632923,-68.40196255,-70.57877724,-71.26584098,-69.76942301,-74.39041186,-45.97814214,-74.74281848,-73.39529724,-70.72214977,-69.02131585,-66.28782394,-67.86513074,-65.33251007,-65.70271955,-61.62853744,-61.72809374,,,,,,
Georgia,GEO,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,49641.595,49655.615,52152.699,54661.047,57002.976,52994.038,52281.977,51638.154,51226.87,51216.748,51361.645,51528.678,50752.148,49271.241,48789.043,47876.477,46727.993,46829.499,47706.739,46751.864,38220.5924,31422.526,27307.6154,23015.2493,16492.9776,13616.2717,12931.4294,12076.9571,11244.96563,10982.3658,11554.30561,9788.1363,20647.4741,9653.4444,10168.475,11190.1678,11840.2366,12884.9934,12282.1374,13250.12002,13108.62377,14665.8003,14627.74929,,,,,,
Georgia,GEO,Other greenhouse gas emissions (% change from 1990),EN.ATM.GHGO.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.530607172,-1.074642615,-1.603011742,-2.11838116,-2.580275584,-2.978838093,-3.360734307,-98.25107248,-88.76958468,-98.43750545,10.63847619,-92.41888396,-85.16223685,-82.37368021,-43.52364495,-45.67645391,-40.99989191,-48.53148525,-88.23191576,8.311861592,8.311861592,8.311861592,,,,,,
Georgia,GEO,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,16599.78149,16609.88149,17333.62437,17954.72241,18614.47949,12469.44399,11224.36997,10170.41921,8787.26626,7688.44104,6791.050366,6503.185645,6202.050464,5215.108301,4819.127295,4206.43562,3294.246094,2816.611548,3223.91814,3613.984595,-4286.009655,-2741.537579,-973.2961063,-638.4316097,-290.3886045,-730.2815854,-105.6373623,-77.21473706,-227.64592,-172.7152155,-222.3187051,240.2379397,10859.79303,-165.3915454,-75.21188828,-51.0037334,-72.6360835,-107.3564458,-43.15994268,43.97842107,240.6558977,439.9984547,221.9213724,,,,,,
Georgia,GEO,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.31276901,6.411201179,5.545509343,6.847133758,3.967538323,0.661157025,1.55210643,1.434599156,1.2934519,1.459143969,1.623376623,3.012633625,3.986429177,3.545586107,2.921884317,5.939463164,4.968062456,8.166862515,12.65969803,13.29346826,13.98783666,15.44563696,12.64789882,,,,
